위치,장소,예약정보,주소
종합운동장 실외테니스장,테니스장,1코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,2코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,3코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,4코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,5코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,6코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,7코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,8코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,9코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,10코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,11코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실외테니스장,테니스장,12코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실내테니스장,테니스장,1코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실내테니스장,테니스장,2코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실내테니스장,테니스장,3코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
종합운동장 실내테니스장,테니스장,4코트,"천안시 서북구 번영로 208(백석동, 종합운동장)"
천안실내배드민턴장,배드민턴장,1코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,2코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,3코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,4코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,5코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,6코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,7코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,8코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,9코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,10코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,11코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,12코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,13코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,14코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,15코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안실내배드민턴장,배드민턴장,16코트,천안시 동남구 천안대로 357(청당동 실내배드민턴장)
천안생활체육야구장,야구장,A구장,천안시 동남구 천안대로 320
천안생활체육야구장,야구장,B구장,천안시 동남구 천안대로 320
천안생활체육야구장,야구장,C구장,천안시 동남구 천안대로 320
천안생활체육야구장,야구장,D구장,천안시 동남구 천안대로 320
천안생활체육야구장,야구장,리틀야구장,천안시 동남구 천안대로 320
천안축구센터,경기장,인조1,천안시 서북구 축구센터로 150
천안축구센터,경기장,인조2,천안시 서북구 축구센터로 150
천안축구센터,경기장,인조3,천안시 서북구 축구센터로 150
천안축구센터,풋살장,풋살1,천안시 서북구 축구센터로 150
천안축구센터,풋살장,풋살2,천안시 서북구 축구센터로 150
천안축구센터,풋살장,풋살3,천안시 서북구 축구센터로 150
천안축구센터,풋살장,풋살4,천안시 서북구 축구센터로 150
천안축구센터,세미나,대세미나실A,천안시 서북구 축구센터로 150
천안축구센터,세미나,대세미나실B,천안시 서북구 축구센터로 150
천안축구센터,세미나,다목적홀,천안시 서북구 축구센터로 150
천안축구센터,세미나,중세미나실,천안시 서북구 축구센터로 150
천안축구센터,세미나,소세미나실,천안시 서북구 축구센터로 150
북부스포츠센터,축구장,1구장,천안시 서북구 성환읍 성환1로 45
한들문화센터,공연장,이벤트홀,천안시 서북구 음봉로 861-50
유관순파크골프장,파크골프장,오전/오후,천안시 서북구 음봉로 861-53
